0.763577-1.508301j,-1.013527-0.890762j,-1.013527-0.890762j,0.000000
0.763577-1.508301j,-1.013527-0.890763j,-1.013526-0.890762j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890627j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890626j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890626j,-1.013603-0.890898j,0.000000
0.763577-1.508301j,-1.013450-0.890626j,-1.013603-0.890898j,0.000000
