0.762839+0.000000j,0.040370+3.141593j,0.040370+3.141593j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
0.762839+0.000000j,0.040371+3.142059j,0.040371+3.141126j,0.000000
