2.274815-2.219732j,-0.682140-2.545909j,-0.682140-2.545909j,0.000000
2.274815-2.219732j,-0.682145-2.545915j,-0.682135-2.545903j,0.000000
2.274815-2.219732j,-0.682141-2.545911j,-0.682139-2.545907j,0.000000
2.274815-2.219732j,-0.682110-2.545889j,-0.682170-2.545929j,0.000000
2.274815-2.219732j,-0.682110-2.545889j,-0.682170-2.545929j,0.000000
2.274815-2.219732j,-0.682110-2.545889j,-0.682170-2.545929j,0.000000
2.274815-2.219732j,-0.682110-2.545888j,-0.682170-2.545929j,0.000000
2.274815-2.219732j,-0.682110-2.545888j,-0.682170-2.545930j,0.000000
2.274815-2.219732j,-0.682110-2.545888j,-0.682170-2.545930j,0.000000
2.274815-2.219732j,-0.682110-2.545888j,-0.682170-2.545930j,0.000000
2.274815-2.219732j,-0.682110-2.545887j,-0.682170-2.545930j,0.000000
2.274815-2.219732j,-0.682110-2.545887j,-0.682170-2.545931j,0.000000
2.274815-2.219732j,-0.682110-2.545887j,-0.682170-2.545931j,0.000000
2.274815-2.219732j,-0.682110-2.545887j,-0.682170-2.545931j,0.000000
2.274815-2.219732j,-0.682110-2.545887j,-0.682170-2.545931j,0.000000
2.274815-2.219732j,-0.682110-2.545886j,-0.682170-2.545931j,0.000000
2.274815-2.219732j,-0.682110-2.545886j,-0.682170-2.545932j,0.000000
2.274815-2.219732j,-0.682110-2.545886j,-0.682171-2.545932j,0.000000
2.274815-2.219732j,-0.682110-2.545886j,-0.682171-2.545932j,0.000000
2.274815-2.219732j,-0.682110-2.545885j,-0.682171-2.545932j,0.000000
2.274815-2.219732j,-0.682110-2.545885j,-0.682171-2.545933j,0.000000
2.274815-2.219732j,-0.682110-2.545885j,-0.682171-2.545933j,0.000000
2.274815-2.219732j,-0.682110-2.545885j,-0.682171-2.545933j,0.000000
2.274815-2.219732j,-0.682110-2.545885j,-0.682171-2.545933j,0.000000
2.274815-2.219732j,-0.682110-2.545884j,-0.682171-2.545933j,0.000000
2.274815-2.219732j,-0.682110-2.545884j,-0.682171-2.545934j,0.000000
2.274815-2.219732j,-0.682110-2.545884j,-0.682171-2.545934j,0.000000
2.274815-2.219732j,-0.682109-2.545884j,-0.682171-2.545934j,0.000000
2.274815-2.219732j,-0.682109-2.545884j,-0.682171-2.545934j,0.000000
2.274815-2.219732j,-0.682109-2.545883j,-0.682171-2.545934j,0.000000
2.274815-2.219732j,-0.682109-2.545883j,-0.682171-2.545935j,0.000000
2.274815-2.219732j,-0.682109-2.545883j,-0.682171-2.545935j,0.000000
2.274815-2.219732j,-0.682109-2.545883j,-0.682171-2.545935j,0.000000
2.274815-2.219732j,-0.682109-2.545883j,-0.682171-2.545935j,0.000000
2.274815-2.219732j,-0.682109-2.545882j,-0.682171-2.545935j,0.000000
2.274815-2.219732j,-0.682109-2.545882j,-0.682171-2.545936j,0.000000
2.274815-2.219732j,-0.682109-2.545882j,-0.682171-2.545936j,0.000000
2.274815-2.219732j,-0.682109-2.545882j,-0.682171-2.545936j,0.000000
2.274815-2.219732j,-0.682109-2.545882j,-0.682171-2.545936j,0.000000
2.274815-2.219732j,-0.682109-2.545881j,-0.682172-2.545936j,0.000000
2.274815-2.219732j,-0.682109-2.545881j,-0.682172-2.545936j,0.000000
2.274815-2.219732j,-0.682109-2.545881j,-0.682172-2.545937j,0.000000
2.274815-2.219732j,-0.682109-2.545881j,-0.682172-2.545937j,0.000000
2.274815-2.219732j,-0.682109-2.545881j,-0.682172-2.545937j,0.000000
2.274815-2.219732j,-0.682109-2.545881j,-0.682172-2.545937j,0.000000
2.274815-2.219732j,-0.682109-2.545880j,-0.682172-2.545937j,0.000000
2.274815-2.219732j,-0.682108-2.545880j,-0.682172-2.545937j,0.000000
2.274815-2.219732j,-0.682108-2.545880j,-0.682172-2.545938j,0.000000
2.274815-2.219732j,-0.682108-2.545880j,-0.682172-2.545938j,0.000000
2.274815-2.219732j,-0.682108-2.545880j,-0.682172-2.545938j,0.000000
2.274815-2.219732j,-0.682108-2.545880j,-0.682172-2.545938j,0.000000
2.274815-2.219732j,-0.682108-2.545879j,-0.682172-2.545938j,0.000000
2.274815-2.219732j,-0.682128-2.545886j,-0.682153-2.545932j,0.000000
2.274815-2.219732j,-0.682127-2.545886j,-0.682153-2.545932j,0.000000
2.274815-2.219732j,-0.682126-2.545885j,-0.682154-2.545933j,0.000000
2.274815-2.219732j,-0.682126-2.545885j,-0.682155-2.545933j,0.000000
2.274815-2.219732j,-0.682125-2.545884j,-0.682155-2.545934j,0.000000
2.274815-2.219732j,-0.682124-2.545884j,-0.682156-2.545934j,0.000000
2.274815-2.219732j,-0.682124-2.545883j,-0.682157-2.545935j,0.000000
2.274815-2.219732j,-0.682123-2.545883j,-0.682157-2.545935j,0.000000
2.274815-2.219732j,-0.682123-2.545882j,-0.682158-2.545935j,0.000000
2.274815-2.219732j,-0.682122-2.545882j,-0.682158-2.545936j,0.000000
2.274815-2.219732j,-0.682122-2.545882j,-0.682158-2.545936j,0.000000
2.274815-2.219732j,-0.682121-2.545881j,-0.682159-2.545937j,0.000000
2.274815-2.219732j,-0.682121-2.545881j,-0.682159-2.545937j,0.000000
2.274815-2.219732j,-0.682121-2.545880j,-0.682160-2.545937j,0.000000
2.274815-2.219732j,-0.682120-2.545880j,-0.682160-2.545938j,0.000000
2.274815-2.219732j,-0.682120-2.545880j,-0.682160-2.545938j,0.000000
2.274815-2.219732j,-0.682120-2.545879j,-0.682161-2.545939j,0.000000
2.274815-2.219732j,-0.682119-2.545879j,-0.682161-2.545939j,0.000000
2.274815-2.219732j,-0.682119-2.545879j,-0.682161-2.545939j,0.000000
2.274815-2.219732j,-0.682119-2.545878j,-0.682162-2.545940j,0.000000
2.274815-2.219732j,-0.682118-2.545878j,-0.682162-2.545940j,0.000000
2.274815-2.219732j,-0.682118-2.545878j,-0.682162-2.545940j,0.000000
2.274815-2.219732j,-0.682118-2.545877j,-0.682163-2.545941j,0.000000
