0.913599+0.000000j,-0.318454+3.141593j,-0.318454+3.141593j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
0.913598-0.000001j,-0.318453+3.141594j,-0.318454+3.141592j,0.000000
